Quiz_Score,Group_Score,Research_Score,Seatwork_Score,Target_Quadrant
0.4,0.5,0.4318,0.59,Hierarchical-Collective
0.66,0.0,0.4318,0.9,Distributed-Collective
0.99,0.0,0.4318,0.67,Distributed-Individual
0.4,1.0,0.4318,0.59,Hierarchical-Collective
0.66,0.5,0.4318,0.9,Distributed-Collective
0.99,0.5,0.4318,0.67,Distributed-Individual
0.4,1.0,0.4318,0.59,Hierarchical-Collective
0.66,0.5,0.4318,0.9,Distributed-Collective
0.99,0.5,0.4318,0.67,Distributed-Individual
0.4,1.0,0.4318,0.59,Hierarchical-Collective
0.66,0.5,0.4318,0.9,Distributed-Collective
0.99,0.5,0.4318,0.67,Distributed-Individual
0.4,0.5,0.4318,0.59,Hierarchical-Collective
0.66,0.0,0.4318,0.9,Distributed-Collective
0.99,0.0,0.4318,0.67,Distributed-Individual
0.4,0.5,0.4318,0.59,Hierarchical-Collective
0.66,0.0,0.4318,0.9,Distributed-Collective
0.99,0.0,0.4318,0.67,Distributed-Individual
0.46,0.5,0.5455,0.65,Hierarchical-Individual
0.83,1.0,0.5455,0.71,Hierarchical-Individual
0.95,1.0,0.5455,0.61,Distributed-Individual
0.46,0.5,0.5455,0.65,Hierarchical-Individual
0.83,1.0,0.5455,0.71,Hierarchical-Individual
0.95,1.0,0.5455,0.61,Distributed-Individual
0.46,0.0,0.5455,0.65,Hierarchical-Individual
0.83,0.5,0.5455,0.71,Hierarchical-Individual
0.95,0.5,0.5455,0.61,Distributed-Individual
0.46,0.0,0.5455,0.65,Hierarchical-Individual
0.83,0.5,0.5455,0.71,Hierarchical-Individual
0.95,0.5,0.5455,0.61,Distributed-Individual
0.46,0.5,0.5455,0.65,Hierarchical-Individual
0.83,1.0,0.5455,0.71,Hierarchical-Individual
0.95,1.0,0.5455,0.61,Distributed-Individual
0.46,0.0,0.5455,0.65,Hierarchical-Individual
0.83,0.5,0.5455,0.71,Hierarchical-Individual
0.95,0.5,0.5455,0.61,Distributed-Individual
0.54,1.0,0.6591,0.75,Hierarchical-Individual
0.42,1.0,0.6591,0.59,Hierarchical-Collective
0.62,0.5,0.6591,0.96,Hierarchical-Individual
0.54,1.0,0.6591,0.75,Hierarchical-Individual
0.42,1.0,0.6591,0.59,Hierarchical-Collective
0.62,0.5,0.6591,0.96,Hierarchical-Individual
0.4,1.0,0.4318,0.63,Distributed-Collective
0.94,0.5,0.4318,0.86,Hierarchical-Collective
