Quiz_Score,Group_Score,Research_Score,Seatwork_Score,Target_Quadrant
0.44,0.96,0.76,0.64,Distributed-Collective
0.24,0.15,0.88,0.64,Distributed-Individual
0.12,0.97,0.85,0.29,Distributed-Collective
0.27,0.37,0.57,0.49,Distributed-Individual
0.65,0.23,0.36,0.43,Hierarchical-Individual
0.81,0.28,0.56,0.63,Distributed-Collective
0.71,0.51,0.11,0.95,Hierarchical-Individual
0.45,0.11,0.31,0.32,Hierarchical-Individual
0.65,0.85,0.26,0.45,Hierarchical-Collective
0.78,0.48,0.29,0.61,Hierarchical-Collective
0.8,0.95,0.91,0.64,Distributed-Collective
0.18,0.28,0.14,0.39,Hierarchical-Individual
0.34,0.85,0.42,0.35,Distributed-Collective
0.23,0.82,0.17,0.99,Hierarchical-Individual
0.28,0.1,0.83,0.74,Distributed-Individual
0.79,0.17,0.42,0.2,Hierarchical-Individual
0.66,0.4,0.16,0.38,Hierarchical-Collective
0.76,0.67,0.9,0.52,Distributed-Collective
0.74,0.78,0.61,0.79,Hierarchical-Individual
0.57,0.48,0.12,0.2,Distributed-Collective
0.53,0.61,0.73,0.23,Distributed-Collective
0.59,0.28,0.95,0.64,Distributed-Individual
0.89,0.66,0.37,0.19,Hierarchical-Collective
0.3,0.47,0.89,0.39,Distributed-Collective
0.42,0.92,0.34,0.68,Hierarchical-Individual
0.87,0.11,0.56,0.48,Hierarchical-Individual
0.21,0.4,0.95,0.39,Distributed-Collective
0.73,0.43,0.97,0.97,Distributed-Individual
0.55,0.37,0.36,0.13,Hierarchical-Collective
0.55,0.15,0.35,0.92,Hierarchical-Individual
0.23,0.54,0.99,0.32,Distributed-Collective
0.79,0.31,0.76,0.43,Hierarchical-Individual
0.67,0.58,0.18,0.85,Hierarchical-Individual
0.27,0.14,0.63,0.71,Distributed-Collective
0.83,0.41,0.19,0.95,Hierarchical-Individual
0.57,0.85,0.71,0.76,Distributed-Collective
0.59,0.73,0.31,0.26,Hierarchical-Collective
0.56,0.33,1.0,0.97,Distributed-Individual
0.89,0.27,0.35,0.73,Hierarchical-Individual
0.87,0.46,0.9,0.87,Distributed-Individual
0.81,0.7,0.62,0.44,Hierarchical-Collective
0.98,0.36,0.37,0.54,Hierarchical-Individual
1.0,0.26,0.12,0.54,Hierarchical-Individual
0.43,0.77,0.75,0.38,Distributed-Collective
0.56,0.67,0.33,0.63,Hierarchical-Collective
0.54,0.92,0.49,0.42,Hierarchical-Collective
0.7,0.88,0.31,0.55,Hierarchical-Collective
0.79,0.14,1.0,0.52,Distributed-Individual
0.9,0.77,0.96,0.4,Distributed-Collective
0.62,0.98,0.17,0.38,Hierarchical-Collective
0.34,0.54,0.44,0.46,Distributed-Collective
0.94,0.16,0.29,0.7,Hierarchical-Individual
0.33,0.37,0.39,0.86,Distributed-Individual
0.74,0.6,0.37,0.48,Hierarchical-Collective
0.65,0.17,0.1,0.67,Hierarchical-Individual
0.16,0.46,0.15,0.9,Hierarchical-Collective
0.18,0.62,0.13,0.52,Hierarchical-Collective
0.36,0.63,0.13,0.13,Hierarchical-Collective
0.42,0.21,0.57,0.79,Distributed-Individual
0.66,0.18,0.15,0.58,Hierarchical-Individual
0.67,0.75,0.98,0.56,Distributed-Collective
0.82,0.34,0.5,0.17,Hierarchical-Individual
0.17,0.49,0.72,0.15,Distributed-Collective
0.5,0.32,0.18,0.26,Hierarchical-Collective
0.67,0.57,0.69,0.49,Distributed-Collective
0.14,0.61,0.24,0.21,Distributed-Collective
0.18,0.18,0.38,0.98,Distributed-Individual
0.12,0.79,0.83,0.41,Distributed-Collective
0.68,0.14,0.95,0.9,Distributed-Individual
0.11,0.94,0.55,0.59,Distributed-Collective
0.65,0.95,0.95,0.88,Distributed-Collective
0.82,0.71,0.62,0.22,Hierarchical-Collective
0.84,0.66,0.84,0.69,Distributed-Individual
0.35,0.29,0.44,0.14,Distributed-Collective
0.4,0.69,0.45,0.71,Distributed-Individual
0.33,0.55,0.72,0.41,Distributed-Collective
0.14,0.48,0.97,0.59,Distributed-Individual
0.61,0.62,0.76,0.21,Distributed-Collective
0.62,0.88,0.61,0.31,Hierarchical-Collective
0.77,0.31,0.44,0.58,Hierarchical-Individual
0.45,0.37,0.19,0.15,Hierarchical-Collective
0.86,0.42,0.96,0.71,Distributed-Individual
0.54,0.17,0.18,0.64,Hierarchical-Individual
0.29,0.95,0.8,0.2,Distributed-Collective
0.98,1.0,0.15,0.76,Hierarchical-Collective
0.74,0.97,0.72,0.85,Hierarchical-Collective
0.85,0.48,0.3,0.46,Hierarchical-Collective
0.23,0.56,0.31,0.62,Distributed-Individual
0.89,0.31,0.92,0.63,Distributed-Individual
0.74,0.53,0.44,0.73,Hierarchical-Individual
0.4,0.49,0.33,0.46,Hierarchical-Collective
0.77,0.79,0.84,0.77,Distributed-Collective
0.31,0.46,0.53,0.17,Distributed-Collective
0.49,0.82,0.98,0.6,Distributed-Collective
0.14,0.93,0.93,0.33,Distributed-Collective
0.17,0.25,0.3,0.37,Distributed-Individual
0.73,0.45,0.76,0.92,Distributed-Individual
0.15,0.46,0.2,0.4,Distributed-Collective
0.68,0.45,0.31,0.34,Hierarchical-Collective
0.33,0.51,0.13,0.35,Hierarchical-Collective
