hi_score,hc_score,di_score,dc_score,target_quadrant
15,19,8,5,Hierarchical-Collective
17,13,19,5,Distributed-Collective
20,11,20,8,Distributed-Individual
7,19,8,8,Hierarchical-Collective
9,13,19,8,Distributed-Collective
12,11,20,17,Distributed-Individual
7,19,5,8,Hierarchical-Collective
9,13,15,8,Distributed-Collective
12,11,16,17,Distributed-Individual
7,19,8,12,Hierarchical-Collective
9,13,19,12,Distributed-Collective
12,11,20,21,Distributed-Individual
15,19,8,5,Hierarchical-Collective
17,13,19,5,Distributed-Collective
20,11,20,8,Distributed-Individual
15,19,12,5,Hierarchical-Collective
17,13,23,5,Distributed-Collective
20,11,25,12,Distributed-Individual
8,14,14,21,Hierarchical-Individual
11,22,5,21,Hierarchical-Individual
12,22,6,21,Distributed-Individual
8,14,14,21,Hierarchical-Individual
11,22,5,21,Hierarchical-Individual
12,22,6,21,Distributed-Individual
17,14,10,17,Hierarchical-Individual
20,22,5,17,Hierarchical-Individual
21,22,5,17,Distributed-Individual
17,14,10,12,Hierarchical-Individual
20,22,5,12,Hierarchical-Individual
21,22,5,12,Distributed-Individual
8,14,14,25,Hierarchical-Individual
11,22,5,25,Hierarchical-Individual
12,22,6,25,Distributed-Individual
17,14,10,8,Hierarchical-Individual
20,22,5,8,Hierarchical-Individual
21,22,5,8,Distributed-Individual
10,22,11,21,Hierarchical-Individual
9,21,6,21,Hierarchical-Collective
11,15,13,21,Hierarchical-Individual
10,22,7,17,Hierarchical-Individual
9,21,5,17,Hierarchical-Collective
11,15,9,17,Hierarchical-Individual
7,21,9,21,Distributed-Collective
11,15,14,21,Hierarchical-Collective
15,21,13,12,Distributed-Collective
20,15,18,12,Hierarchical-Collective
7,21,13,21,Distributed-Collective
11,15,18,21,Hierarchical-Collective
7,21,9,21,Distributed-Collective
11,15,14,21,Hierarchical-Collective
15,21,9,17,Distributed-Collective
20,15,14,17,Hierarchical-Collective
9,20,5,17,Hierarchical-Collective
10,13,14,17,Hierarchical-Collective
9,20,8,21,Hierarchical-Collective
10,13,18,21,Hierarchical-Collective
10,14,24,21,Hierarchical-Collective
10,14,15,21,Hierarchical-Collective
19,22,10,8,Distributed-Collective
19,22,5,5,Distributed-Collective
19,22,5,5,Distributed-Collective
11,22,5,12,Distributed-Collective
19,22,5,8,Distributed-Collective
11,22,5,8,Distributed-Collective
11,22,10,12,Distributed-Collective
9,14,15,12,Hierarchical-Collective
12,25,6,12,Distributed-Individual
9,14,15,12,Hierarchical-Collective
12,25,6,12,Distributed-Individual
18,14,10,5,Hierarchical-Collective
20,25,5,5,Distributed-Individual
18,14,19,5,Hierarchical-Collective
20,25,10,5,Distributed-Individual
9,14,19,8,Hierarchical-Collective
12,25,10,8,Distributed-Individual
18,21,14,5,Distributed-Individual
17,20,13,12,Distributed-Collective
19,21,11,12,Hierarchical-Individual
19,12,22,12,Hierarchical-Individual
18,21,8,12,Distributed-Individual
18,21,10,5,Distributed-Individual
17,20,9,12,Distributed-Collective
19,21,7,12,Hierarchical-Individual
19,12,18,12,Hierarchical-Individual
18,21,5,12,Distributed-Individual
18,21,14,5,Distributed-Individual
17,20,13,12,Distributed-Collective
19,21,11,12,Hierarchical-Individual
19,12,22,12,Hierarchical-Individual
18,21,8,12,Distributed-Individual
10,13,20,17,Distributed-Individual
10,22,17,17,Hierarchical-Collective
19,13,16,12,Distributed-Individual
18,22,12,12,Hierarchical-Collective
19,13,20,17,Distributed-Individual
18,22,17,17,Hierarchical-Collective
10,13,20,21,Distributed-Individual
10,22,17,21,Hierarchical-Collective
19,13,20,12,Distributed-Individual
18,22,17,12,Hierarchical-Collective
10,13,20,17,Distributed-Individual
10,22,17,17,Hierarchical-Collective
10,13,12,21,Distributed-Individual
10,22,8,21,Hierarchical-Collective
10,13,16,21,Distributed-Individual
10,22,12,21,Hierarchical-Collective
19,13,12,17,Distributed-Individual
18,22,8,17,Hierarchical-Collective
10,13,16,17,Distributed-Individual
10,22,12,17,Hierarchical-Collective
11,12,13,8,Hierarchical-Collective
12,22,7,17,Hierarchical-Individual
11,12,13,8,Hierarchical-Collective
12,22,7,17,Hierarchical-Individual
11,12,13,17,Hierarchical-Collective
12,22,7,25,Hierarchical-Individual
19,12,9,5,Hierarchical-Collective
20,22,5,8,Hierarchical-Individual
